"","X","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","asOf","mktCap","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA","Price.Sales","Price.Book","SEC.Filings"
"69",137,"DE","Deere & Co.","Industrials","Agricultural & Farm Machinery","Negligible",18,4,9,4,0.14,"2021-03-03",110155005952,153.66,23.14,1.4866204,6.64,171.96,106.72,52186628646,4053300000,2.3746448,5.31,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DE"
"70",140,"DVN","Devon Energy","Energy","Oil & Gas Exploration & Production","Severe",34,18,9,8,0.7,"2021-03-03",15131288576,34.94,23.93,0.6528836,-6.89,47.25,28.7947,19317380000,3.723e+09,2.0660408,2.85,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVN"
"71",143,"DLR","Digital Realty Trust Inc","Real Estate","Specialized REITs","Negligible",14,3,5,5,0.06,"2021-03-03",36860583936,98.96,16.55,3.5710857,2.19,127.23,101.101,21400952517,1260662000,12.434961,2.32,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLR"
"72",145,"DISCA","Discovery, Inc. (Series A)","Communication Services","Broadcasting","Negligible",18,0,9,9,0.16,"2021-03-03",25621063680,22.87,11,0,1.96,30.25,15.99,8763756733,2.1e+09,1.804088,1.5,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISCA"
"73",148,"DG","Dollar General","Consumer Discretionary","General Merchandise Stores","Negligible",17,3,8,5,0.12,"2021-03-03",45692686336,95.1,21.18,1.0625255,4.43,105.82,65.97,26580644874,2457604000,1.5283886,4.53,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG"
"74",149,"DLTR","Dollar Tree","Consumer Discretionary","General Merchandise Stores","Negligible",18,3,9,6,0.14,"2021-03-03",23272247296,101.58,26.66,0,3.77,116.65,65.63,25151198417,2430300000,1.6097589,4.08,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR"
"75",154,"DTE","DTE Energy Co.","Utilities","Multi-Utilities","Severe",31,16,9,6,0.61,"2021-03-03",22859520000,98.49,19.12,3.5559585,4.82,116.74,96.56,17808073691,2.79e+09,1.9091922,1.95,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTE"
"76",155,"DUK","Duke Energy","Utilities","Electric Utilities","Severe",33,16,12,6,0.67,"2021-03-03",67058245632,74.32,16.7,4.7849464,3.12,91.8,72.93,52078185682,9.895e+09,2.9348857,1.27,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK"
"77",156,"DRE","Duke Realty Corp","Real Estate","Industrial REITs","Negligible",16,6,6,5,0.1,"2021-03-03",14513335296,24.52,19.77,3.1533308,0.88,30.14,24.73,9035293365,529483000,16.077257,1.94,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRE"
"78",158,"DXC","DXC Technology","Information Technology","IT Consulting & Other Services","Negligible",13,1,7,5,0.05,"2021-03-03",6545611264,91.92,79.93,0.7493755,-0.89,102.95,67.76,27408621020,1.628e+09,1.9598055,2.26,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXC"
"79",160,"ETN","Eaton Corporation","Industrials","Electrical Components & Equipment","Negligible",17,5,6,6,0.13,"2021-03-03",53333458944,79.41,17.08,2.9404557,6.68,89.85,69.45,35961772000,4.253e+09,1.8161736,2.17,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN"
"80",164,"EW","Edwards Lifesciences","Health Care","Health Care Equipment","Negligible",19,3,9,7,0.18,"2021-03-03",53883498496,123.78,32.57,0,2.88,138.48,89.2,27447099863,1156700000,7.8283277,8.48,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EW"
