"","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","esgRank.env","esgRank.soc","esgRank.gov","conRating","conLevel","conAreas","asOf","mktCap"
"371","PNW","Pinnacle West Capital","Utilities","Multi-Utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8307654144
"372","PXD","Pioneer Natural Resources","Energy","Oil & Gas Exploration & Production","Severe",37,18,10,9,0.8,NA,NA,NA,NA,NA,NA,2021-03-03,32376999936
"373","PNC","PNC Financial Services","Financials","Regional Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73393618944
"374","POOL","Pool Corporation","Consumer Discretionary","Distributors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13303863296
"375","PPG","PPG Industries","Materials","Specialty Chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33332787200
"376","PPL","PPL Corp.","Utilities","Electric Utilities","Severe",35,19,11,5,0.74,NA,NA,NA,NA,NA,NA,2021-03-03,20870252544
"377","PFG","Principal Financial Group","Financials","Life & Health Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15757089792
"378","PG","Procter & Gamble","Consumer Staples","Personal Products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305101275136
"379","PGR","Progressive Corp.","Financials","Property & Casualty Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51957444608
"380","PLD","Prologis","Real Estate","Industrial REITs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73277054976
"381","PRU","Prudential Financial","Financials","Life & Health Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35340939264
"382","PEG","Public Service Enterprise Group (PSEG)","Utilities","Electric Utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27624359936
"383","PSA","Public Storage","Real Estate","Specialized REITs","Negligible",15,5,4,5,0.07,NA,NA,NA,NA,NA,NA,2021-03-03,41004617728
"384","PHM","PulteGroup","Consumer Discretionary","Homebuilding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12281643008
"385","PVH","PVH Corp.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Negligible",13,1,7,5,0.05,NA,NA,NA,NA,NA,NA,2021-03-03,7260041216
"386","QRVO","Qorvo","Information Technology","Semiconductors","Severe",32,16,9,7,0.65,NA,NA,NA,NA,NA,NA,2021-03-03,20098519040
"387","PWR","Quanta Services Inc.","Industrials","Construction & Engineering","Severe",36,9,17,11,0.76,NA,NA,NA,NA,NA,NA,2021-03-03,11693484032
"388","QCOM","Qualcomm","Information Technology","Semiconductors","Negligible",19,6,3,9,0.18,NA,NA,NA,NA,NA,NA,2021-03-03,155677425664
